,precision,recall,f1-score,support
non-fracture,0.5333333333333333,0.42105263157894735,0.47058823529411764,19.0
simple,0.7391304347826086,0.8095238095238095,0.7727272727272727,42.0
comminuted,0.7837837837837838,0.7435897435897436,0.7631578947368421,39.0
spiral,0.7307692307692307,0.6551724137931034,0.6909090909090909,29.0
greenstick,0.3,0.42857142857142855,0.35294117647058826,7.0
stress,0.7931034482758621,0.8518518518518519,0.8214285714285714,27.0
accuracy,0.7116564417177914,0.7116564417177914,0.7116564417177914,0.7116564417177914
macro avg,0.6466867051574697,0.6516269798181473,0.6452920402610806,163.0
weighted avg,0.7144201224388125,0.7116564417177914,0.7107018596325135,163.0
