epoch,train_loss,train_multi_loss,train_binary_loss,val_loss,val_multi_loss,val_binary_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,0.6170103957115765,0.5338394207433915,0.41585486203851835,1.1067095972873546,1.0582773560359153,0.24216117093592515,0.5721830985915493,0.6790123456790124,0.5737235586089803,0.5779645191409898
2,0.6082272901081703,0.5452267748998924,0.3150025814981528,0.6748471524980333,0.6428144725016606,0.16016348676733028,0.7658450704225352,0.7654320987654321,0.7684868518981455,0.7561598124098124
3,0.48032132546666645,0.42440432436029674,0.2795850015442136,1.1514421863320432,1.0652393948884658,0.43101392888728485,0.8415492957746479,0.6172839506172839,0.7303979865155966,0.5036764705882353
4,0.8277015246345963,0.531534520778018,1.4808349892706938,8.68900998433431,7.499697802979269,5.9465606065444,0.8204225352112676,0.1111111111111111,0.1595987354959227,0.03333333333333333
5,0.02106224195080691,0.011497714414565027,0.04782263683417524,7.496331780045121,6.079512949343081,7.084095283790871,0.9982394366197183,0.1111111111111111,0.16651982378854627,0.03333333333333333
6,0.006112360339742941,0.005547905502360561,0.002822274055240125,5.392414475664681,4.424144768420561,4.841348153573495,1.0,0.1111111111111111,0.16666666666666666,0.03333333333333333
7,0.004902332917865838,0.004703762357009932,0.0009928530362487153,5.540088918473986,4.531453806676982,5.04317503210939,1.0,0.1111111111111111,0.16666666666666666,0.03333333333333333
8,0.00523501705840676,0.005064640109160689,0.0008518846941665864,5.59566068649292,4.561366469771774,5.171471454479076,1.0,0.1111111111111111,0.16666666666666666,0.03333333333333333
9,0.008453893685929845,0.00799467420704748,0.0022960974684011347,5.688334070605996,4.632508245515234,5.2791288988089855,1.0,0.1111111111111111,0.16666666666666666,0.03333333333333333
10,0.003768622095763854,0.003509543538177215,0.001295392781915799,5.366996512000943,4.384839990992605,4.910782278319935,1.0,0.1111111111111111,0.16666666666666666,0.03333333333333333
